labels,CPU1 Temp,CPU2 Temp,Inlet Temp,Memory usage,Fan1 speed,Fan2 speed,Fan3 speed,Fan4 speed,Power consumption,radius
0,57,44,20,5.101402755487004,9870,9870,9870,10010,90.3125,0.4053685485
1,74,57,20,39.368343164432964,9870,9870,9870,10010,102.18750000000001,0.3882876555
2,39,32,13,52.25733163807657,9100,9100,8960,9100,44.0625,0.3268074262
3,57,45,14,95.14767492756947,8890,8890,8750,8890,93.75,0.4070644463
4,3,3,3,0,1050,1050,1050,1050,0,0.3903519545
5,36,30,12,1.3740959209621277,8470,8330,8330,8330,40.625,0.3582353979
6,84,53,18,8.48010505033662,12460,12460,12390,12390,94.375,0.3715990694
7,49,41,14,33.156512495570794,16800,16590,16730,16730,101.5625,0.3403616582
8,3,3,3,60.10588406944995,1050,1050,1050,1050,0,0.0583349808
