year,place,indiaClass
2003,Uttarakhand,india
2014,Uttarakhand,india
1991,Uttarakhand,india
1958,Andhra Pradesh,india
1971,Andhra Pradesh,india
1972,Andhra Pradesh,india
1969,Bihar,india
1991,Goa,india
2001,Gujarat,india
2010,Gujarat,india
1969,Gujarat,india
1971,Gujarat,india
1965,Gujarat,india
1966,Gujarat,india
2011,Haryana,india
2006,Haryana,india
2010,Himachal Pradesh,india
1974,Jammu & Kashmir,india
1989,Jharkhand,india
1971,Madhya Pradesh,india
1965,Odisha,india
1971,Punjab,india
2007,Punjab,india
2010,Punjab,india
1957,Rajasthan,india
1965,Rajasthan,india
1971,Rajasthan,india
2010,Telangana,india
2001,Telangana,india
2011,Telangana,india
2001,Telangana,india
2011,Telangana,india
2000,Telangana,india
2014,Telangana,india
2016,Bihar,india
2017,Bihar,india
2009,Tamil Nadu,india
2010,Tamil Nadu,india
1989,Tamil Nadu,india
1991,Tamil Nadu,india
2004,Tamil Nadu,india
2000,Tamil Nadu,india
1990,Tamil Nadu,india
1958,Tamil Nadu,india
2009,Tamil Nadu,india
2001,Tamil Nadu,india
1973,Tamil Nadu,india
2003,Tamil Nadu,india
1966,Tamil Nadu,india
2004,Tamil Nadu,india
2011,Tamil Nadu,india
1973,Tamil Nadu,india
1977,Tamil Nadu,india
1992,Tamil Nadu,india
1971,Tamil Nadu,india
1999,Tamil Nadu,india
1966,Tamil Nadu,india
2006,Tamil Nadu,india
2004,Tamil Nadu,india
2010,Tamil Nadu,india
2009,Tamil Nadu,india
2011,Tamil Nadu,india
1971,Tamil Nadu,india
1987,Tamil Nadu,india
1985,Tamil Nadu,india
1990,Tamil Nadu,india
2014,Tamil Nadu,india
1970,Tamil Nadu,india
2015,Tamil Nadu,india
1992,Tamil Nadu,india
2002,Tamil Nadu,india
1970,Tamil Nadu,india
1992,Tamil Nadu,india
2005,Tamil Nadu,india
2005,Tamil Nadu,india
1989,Tamil Nadu,india
1972,Tamil Nadu,india
2001,Tamil Nadu,india
1970,Tamil Nadu,india
1954,Tamil Nadu,india
2012,Tamil Nadu,india
1975,Tamil Nadu,india
1998,Tamil Nadu,india
2011,Tamil Nadu,india
1972,Tamil Nadu,india
1975,Tamil Nadu,india
1992,Tamil Nadu,india
2003,Tamil Nadu,india
1990,Tamil Nadu,india
1976,Tamil Nadu,india
2004,Tamil Nadu,india
1990,Tamil Nadu,india
2003,Tamil Nadu,india
1991,Tamil Nadu,india
1971,Tamil Nadu,india
2002,Tamil Nadu,india
2002,Tamil Nadu,india
1983,Tamil Nadu,india
2002,Tamil Nadu,india
2008,Tamil Nadu,india
1971,Tamil Nadu,india
1992,Tamil Nadu,india
2012,Tamil Nadu,india
1981,Tamil Nadu,india
1987,Tamil Nadu,india
1971,Tamil Nadu,india
2008,Tamil Nadu,india
1998,Tamil Nadu,india
2007,Tamil Nadu,india
1981,Tamil Nadu,india
2003,Tamil Nadu,india
1976,Tamil Nadu,india
1985,Tamil Nadu,india
2001,Tamil Nadu,india
1959,Tamil Nadu,india
1972,Tamil Nadu,india
1971,Tamil Nadu,india
2006,Tamil Nadu,india
1983,Tamil Nadu,india
2003,Tamil Nadu,india
2000,Tamil Nadu,india
2016,Tamil Nadu,india
2017,Tamil Nadu,india
1970,Tamil Nadu,india
1956,Tamil Nadu,india
2009,Tamil Nadu,india
1982,Tamil Nadu,india
2007,Tamil Nadu,india
2013,Tamil Nadu,india
2011,Tamil Nadu,india
2011,Tamil Nadu,india
2014,Tamil Nadu,india
1990,Tamil Nadu,india
1969,Tamil Nadu,india
2009,Tamil Nadu,india
2006,Tamil Nadu,india
2004,Tamil Nadu,india
2004,Tamil Nadu,india
2008,Tamil Nadu,india
2012,Tamil Nadu,india
2001,Tamil Nadu,india
1969,Tamil Nadu,india
2004,Tamil Nadu,india
2015,Tamil Nadu,india
1988,Tamil Nadu,india
2003,Tamil Nadu,india
1957,Tamil Nadu,india
1977,Tamil Nadu,india
2012,Tamil Nadu,india
2014,Tamil Nadu,india
1970,Tamil Nadu,india
2002,Tamil Nadu,india
1974,Tamil Nadu,india
2003,Tamil Nadu,india
2001,Tamil Nadu,india
2003,Tamil Nadu,india
2003,Tamil Nadu,india
1992,Tamil Nadu,india
1973,Tamil Nadu,india
1971,Tamil Nadu,india
1988,Tamil Nadu,india
2010,Tamil Nadu,india
2003,Tamil Nadu,india
1998,Tamil Nadu,india
2009,Tamil Nadu,india
2009,Tamil Nadu,india
1968,Tamil Nadu,india
2007,Tamil Nadu,india
1972,Tamil Nadu,india
1998,Tamil Nadu,india
1966,Tamil Nadu,india
1984,Tamil Nadu,india
1967,Tamil Nadu,india
2001,Tamil Nadu,india
1965,Tamil Nadu,india
1972,Tamil Nadu,india
1955,Tamil Nadu,india
1971,Tamil Nadu,india
2001,Tamil Nadu,india
2006,Tamil Nadu,india
1982,Tamil Nadu,india
2005,Tamil Nadu,india
1976,Tamil Nadu,india
1957,Tamil Nadu,india
1962,Tamil Nadu,india
1983,Tamil Nadu,india
1961,Tamil Nadu,india
1976,Tamil Nadu,india
1956,Tamil Nadu,india
1963,Tamil Nadu,india
2012,Tamil Nadu,india
1957,Tamil Nadu,india
2015,Tamil Nadu,india
1959,Tamil Nadu,india
1972,Tamil Nadu,india
1970,Tamil Nadu,india
2015,Tamil Nadu,india
1971,Tamil Nadu,india
1975,Tamil Nadu,india
1973,Tamil Nadu,india
1965,Tamil Nadu,india
1972,Tamil Nadu,india
1973,Tamil Nadu,india
2004,Tamil Nadu,india
1962,Tamil Nadu,india
1973,Tamil Nadu,india
1983,Tamil Nadu,india
1954,Tamil Nadu,india
2011,Tamil Nadu,india
2008,Tamil Nadu,india
1970,Tamil Nadu,india
2009,Tamil Nadu,india
1968,Tamil Nadu,india
1957,Tamil Nadu,india
1956,Tamil Nadu,india
1959,Tamil Nadu,india
1971,Tamil Nadu,india
2004,Tamil Nadu,india
1991,Tamil Nadu,india
1968,Tamil Nadu,india
1976,Tamil Nadu,india
1968,Tamil Nadu,india
2002,Tamil Nadu,india
1990,Tamil Nadu,india
1972,Tamil Nadu,india
1971,Tamil Nadu,india
1990,Tamil Nadu,india
1961,Tamil Nadu,india
1992,Tamil Nadu,india
2003,Tamil Nadu,india
2010,Tamil Nadu,india
2000,Tamil Nadu,india
1971,Tamil Nadu,india
1999,Tamil Nadu,india
1990,Tamil Nadu,india
1969,Tamil Nadu,india
1967,Tamil Nadu,india
1970,Tamil Nadu,india
2007,Tamil Nadu,india
1977,Tamil Nadu,india
1969,Tamil Nadu,india
1959,Tamil Nadu,india
1963,Tamil Nadu,india
2014,Tamil Nadu,india
1969,Tamil Nadu,india
1962,Tamil Nadu,india
2010,Tamil Nadu,india
1963,Tamil Nadu,india
2008,Tamil Nadu,india
1982,Tamil Nadu,india
2006,Tamil Nadu,india
1972,Tamil Nadu,india
1977,Tamil Nadu,india
1967,Tamil Nadu,india
2008,Tamil Nadu,india
2016,Tamil Nadu,india
2017,Tamil Nadu,india
1992,Tamil Nadu,india
1973,Tamil Nadu,india
2005,Tamil Nadu,india
2014,Tamil Nadu,india
1984,Tamil Nadu,india
2000,Tamil Nadu,india
2010,Tamil Nadu,india
2006,Tamil Nadu,india
1981,Tamil Nadu,india
1974,Tamil Nadu,india
2007,Tamil Nadu,india
1960,Tamil Nadu,india
2002,Tamil Nadu,india
1991,Tamil Nadu,india
1971,Tamil Nadu,india
1976,Tamil Nadu,india
1999,Tamil Nadu,india
2011,Tamil Nadu,india
1973,Tamil Nadu,india
1998,Tamil Nadu,india
1972,Tamil Nadu,india
2000,Tamil Nadu,india
2007,Tamil Nadu,india
2006,Tamil Nadu,india
1991,Tamil Nadu,india
1956,Tamil Nadu,india
2002,Tamil Nadu,india
1967,Tamil Nadu,india
2007,Tamil Nadu,india
2009,Tamil Nadu,india
1992,Tamil Nadu,india
1991,Tamil Nadu,india
1990,Tamil Nadu,india
1974,Tamil Nadu,india
1983,Tamil Nadu,india
1999,Tamil Nadu,india
2009,Tamil Nadu,india
1990,Tamil Nadu,india
2011,Tamil Nadu,india
1971,Tamil Nadu,india
2009,Tamil Nadu,india
1972,Tamil Nadu,india
1992,Tamil Nadu,india
2014,Tamil Nadu,india
2013,Tamil Nadu,india
2012,Tamil Nadu,india
2016,Tamil Nadu,india
2017,Tamil Nadu,india
2006,Tamil Nadu,india
2012,Tamil Nadu,india
1974,Tamil Nadu,india
1986,Tamil Nadu,india
1971,Tamil Nadu,india
1954,Tamil Nadu,india
1998,Tamil Nadu,india
1974,Tamil Nadu,india
1965,Tamil Nadu,india
1976,Tamil Nadu,india
1988,Tamil Nadu,india
1958,Tamil Nadu,india
1962,Tamil Nadu,india
1960,Tamil Nadu,india
2007,Tamil Nadu,india
1971,Tamil Nadu,india
1954,Tamil Nadu,india
1966,Tamil Nadu,india
2014,Tamil Nadu,india
2014,Tamil Nadu,india
2002,Tamil Nadu,india
2007,Tamil Nadu,india
2011,Tamil Nadu,india
1985,Tamil Nadu,india
1986,Tamil Nadu,india
1954,Tamil Nadu,india
2009,Tamil Nadu,india
1967,Tamil Nadu,india
1954,Tamil Nadu,india
1965,Tamil Nadu,india
1970,Tamil Nadu,india
1972,Tamil Nadu,india
1970,Tamil Nadu,india
2015,Tamil Nadu,india
1981,Tamil Nadu,india
1967,Tamil Nadu,india
1965,Tamil Nadu,india
1973,Tamil Nadu,india
2003,Tamil Nadu,india
1968,Tamil Nadu,india
1973,Tamil Nadu,india
1975,Tamil Nadu,india
2006,Tamil Nadu,india
1988,Tamil Nadu,india
1992,Tamil Nadu,india
2011,Tamil Nadu,india
1975,Tamil Nadu,india
1964,Tamil Nadu,india
1969,Tamil Nadu,india
2001,Tamil Nadu,india
1956,Tamil Nadu,india
1974,Tamil Nadu,india
2002,Tamil Nadu,india
2016,Tamil Nadu,india
2017,Tamil Nadu,india
1981,Tamil Nadu,india
2016,Tamil Nadu,india
2017,Tamil Nadu,india
1968,Tamil Nadu,india
1985,Tamil Nadu,india
1999,Tamil Nadu,india
1987,Tamil Nadu,india
1971,Tamil Nadu,india
1989,Tamil Nadu,india
1983,Tamil Nadu,india
1982,Tamil Nadu,india
1992,Tamil Nadu,india
1975,Tamil Nadu,india
1955,Tamil Nadu,india
1962,Tamil Nadu,india
1971,Tamil Nadu,india
2012,Tamil Nadu,india
1984,Tamil Nadu,india
1958,Tamil Nadu,india
1958,Tamil Nadu,india
1969,Tamil Nadu,india
1957,Tamil Nadu,india
1964,Tamil Nadu,india
2009,Tamil Nadu,india
1973,Tamil Nadu,india
1962,Tamil Nadu,india
1992,Tamil Nadu,india
2002,Tamil Nadu,india
2013,Tamil Nadu,india
1967,Tamil Nadu,india
1957,Tamil Nadu,india
1971,Tamil Nadu,india
1989,Tamil Nadu,india
1991,Tamil Nadu,india
1956,Tamil Nadu,india
2014,Tamil Nadu,india
2010,Tamil Nadu,india
1964,Tamil Nadu,india
1962,Tamil Nadu,india
1967,Tamil Nadu,india
1998,Tamil Nadu,india
1998,Tamil Nadu,india
2003,Tamil Nadu,india
1981,Tamil Nadu,india
1983,Tamil Nadu,india
1988,Tamil Nadu,india
2001,Tamil Nadu,india
2008,Tamil Nadu,india
2009,Tamil Nadu,india
2007,Tamil Nadu,india
2011,Tamil Nadu,india
1969,Tamil Nadu,india
1992,Tamil Nadu,india
1969,Tamil Nadu,india
2014,Tamil Nadu,india
2011,Tamil Nadu,india
1972,Tamil Nadu,india
2012,Tamil Nadu,india
2007,Tamil Nadu,india
1967,Tamil Nadu,india
2003,Tamil Nadu,india
2010,Tamil Nadu,india
1991,Tamil Nadu,india
2010,Tamil Nadu,india
1973,Tamil Nadu,india
2013,Tamil Nadu,india
2013,Tamil Nadu,india
2008,Tamil Nadu,india
2006,Tamil Nadu,india
2010,Tamil Nadu,india
2010,Tamil Nadu,india
1971,Tamil Nadu,india
1970,Uttar Pradesh,india
1968,Uttar Pradesh,india
1958,Uttar Pradesh,india
1977,Uttar Pradesh,india
1968,Uttar Pradesh,india
1990,Uttar Pradesh,india
1975,Uttar Pradesh,india
1961,Uttar Pradesh,india
1968,Uttar Pradesh,india
1980,Uttar Pradesh,india
2001,Uttar Pradesh,india
2010,Uttar Pradesh,india
2002,Uttar Pradesh,india
1972,Uttar Pradesh,india
1989,Uttar Pradesh,india
1990,Uttar Pradesh,india
2006,Uttar Pradesh,india
2000,Uttar Pradesh,india
2002,Uttar Pradesh,india
1973,Uttar Pradesh,india
2004,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
1984,Uttar Pradesh,india
2004,Uttar Pradesh,india
1971,Uttar Pradesh,india
1990,Uttar Pradesh,india
1999,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
1991,Uttar Pradesh,india
1967,Uttar Pradesh,india
1981,Uttar Pradesh,india
1972,Uttar Pradesh,india
1991,Uttar Pradesh,india
1958,Uttar Pradesh,india
1983,Uttar Pradesh,india
1989,Uttar Pradesh,india
1957,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
1957,Uttar Pradesh,india
2005,Uttar Pradesh,india
1974,Uttar Pradesh,india
1975,Uttar Pradesh,india
1961,Uttar Pradesh,india
1967,Uttar Pradesh,india
1972,Uttar Pradesh,india
1969,Uttar Pradesh,india
1975,Uttar Pradesh,india
1984,Uttar Pradesh,india
1972,Uttar Pradesh,india
1966,Uttar Pradesh,india
1972,Uttar Pradesh,india
1983,Uttar Pradesh,india
1975,Uttar Pradesh,india
1969,Uttar Pradesh,india
2012,Uttar Pradesh,india
2014,Uttar Pradesh,india
1973,Uttar Pradesh,india
1991,Uttar Pradesh,india
1983,Uttar Pradesh,india
1980,Uttar Pradesh,india
1968,Uttar Pradesh,india
1985,Uttar Pradesh,india
1967,Uttar Pradesh,india
1963,Uttar Pradesh,india
1973,Uttar Pradesh,india
1962,Uttar Pradesh,india
1957,Uttar Pradesh,india
2007,Uttar Pradesh,india
1988,Uttar Pradesh,india
1954,Uttar Pradesh,india
1981,Uttar Pradesh,india
1990,Uttar Pradesh,india
1964,Uttar Pradesh,india
2004,Uttar Pradesh,india
1963,Uttar Pradesh,india
1984,Uttar Pradesh,india
1973,Uttar Pradesh,india
1955,Uttar Pradesh,india
1971,Uttar Pradesh,india
1991,Uttar Pradesh,india
1957,Uttar Pradesh,india
1965,Uttar Pradesh,india
2011,Uttar Pradesh,india
1982,Uttar Pradesh,india
2007,Uttar Pradesh,india
1991,Uttar Pradesh,india
2007,Uttar Pradesh,india
1964,Uttar Pradesh,india
1966,Uttar Pradesh,india
1966,Uttar Pradesh,india
1957,Uttar Pradesh,india
2005,Uttar Pradesh,india
1974,Uttar Pradesh,india
1984,Uttar Pradesh,india
1962,Uttar Pradesh,india
2015,Uttar Pradesh,india
2015,Uttar Pradesh,india
1974,Uttar Pradesh,india
1977,Uttar Pradesh,india
2000,Uttar Pradesh,india
1976,Uttar Pradesh,india
1990,Uttar Pradesh,india
1991,Uttar Pradesh,india
1967,Uttar Pradesh,india
2010,Uttar Pradesh,india
1988,Uttar Pradesh,india
1956,Uttar Pradesh,india
1954,Uttar Pradesh,india
2015,Uttar Pradesh,india
1971,Uttar Pradesh,india
1970,Uttar Pradesh,india
1962,Uttar Pradesh,india
1976,Uttar Pradesh,india
2014,Uttar Pradesh,india
1984,Uttar Pradesh,india
1987,Uttar Pradesh,india
1982,Uttar Pradesh,india
1965,Uttar Pradesh,india
1985,Uttar Pradesh,india
2003,Uttar Pradesh,india
2004,Uttar Pradesh,india
1974,Uttar Pradesh,india
1984,Uttar Pradesh,india
2005,Uttar Pradesh,india
1986,Uttar Pradesh,india
1968,Uttar Pradesh,india
1983,Uttar Pradesh,india
1963,Uttar Pradesh,india
1961,Uttar Pradesh,india
1960,Uttar Pradesh,india
1991,Uttar Pradesh,india
2015,Uttar Pradesh,india
1958,Uttar Pradesh,india
1963,Uttar Pradesh,india
2009,Uttar Pradesh,india
2015,Uttar Pradesh,india
1959,Uttar Pradesh,india
1971,Uttar Pradesh,india
2001,Uttar Pradesh,india
1969,Uttar Pradesh,india
2009,Uttar Pradesh,india
1964,Uttar Pradesh,india
2008,Uttar Pradesh,india
1973,Uttar Pradesh,india
2004,Uttar Pradesh,india
1970,Uttar Pradesh,india
1961,Uttar Pradesh,india
1969,Uttar Pradesh,india
1971,Uttar Pradesh,india
1976,Uttar Pradesh,india
1971,Uttar Pradesh,india
1970,Uttar Pradesh,india
1989,Uttar Pradesh,india
2001,Uttar Pradesh,india
1988,Uttar Pradesh,india
1999,Uttar Pradesh,india
1972,Uttar Pradesh,india
1968,Uttar Pradesh,india
2006,Uttar Pradesh,india
1976,Uttar Pradesh,india
2010,Uttar Pradesh,india
2007,Uttar Pradesh,india
1970,Uttar Pradesh,india
1973,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
2014,Uttar Pradesh,india
1975,Uttar Pradesh,india
1991,Uttar Pradesh,india
1973,Uttar Pradesh,india
2001,Uttar Pradesh,india
2013,Uttar Pradesh,india
1972,Uttar Pradesh,india
1969,Uttar Pradesh,india
2012,Uttar Pradesh,india
2000,Uttar Pradesh,india
1991,Uttar Pradesh,india
1955,Uttar Pradesh,india
1970,Uttar Pradesh,india
2011,Uttar Pradesh,india
1956,Uttar Pradesh,india
2008,Uttar Pradesh,india
2012,Uttar Pradesh,india
2000,Uttar Pradesh,india
1972,Uttar Pradesh,india
2003,Uttar Pradesh,india
2009,Uttar Pradesh,india
1983,Uttar Pradesh,india
2004,Uttar Pradesh,india
1970,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
1969,Uttar Pradesh,india
1974,Uttar Pradesh,india
1977,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
1976,Uttar Pradesh,india
2013,Uttar Pradesh,india
1954,Uttar Pradesh,india
1965,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
2014,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
1985,Uttar Pradesh,india
1972,Uttar Pradesh,india
2006,Uttar Pradesh,india
2011,Uttar Pradesh,india
1999,Uttar Pradesh,india
2013,Uttar Pradesh,india
2008,Uttar Pradesh,india
1972,Uttar Pradesh,india
1957,Uttar Pradesh,india
2009,Uttar Pradesh,india
1971,Uttar Pradesh,india
1955,Uttar Pradesh,india
1998,Uttar Pradesh,india
1966,Uttar Pradesh,india
2015,Uttar Pradesh,india
2006,Uttar Pradesh,india
1961,Uttar Pradesh,india
1986,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
2002,Uttar Pradesh,india
1989,Uttar Pradesh,india
2006,Uttar Pradesh,india
1998,Uttar Pradesh,india
1954,Uttar Pradesh,india
1991,Uttar Pradesh,india
2001,Uttar Pradesh,india
2013,Uttar Pradesh,india
1999,Uttar Pradesh,india
1963,Uttar Pradesh,india
1974,Uttar Pradesh,india
1976,Uttar Pradesh,india
2008,Uttar Pradesh,india
1968,Uttar Pradesh,india
1992,Uttar Pradesh,india
2005,Uttar Pradesh,india
2003,Uttar Pradesh,india
2013,Uttar Pradesh,india
2001,Uttar Pradesh,india
1971,Uttar Pradesh,india
1962,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
1962,Uttar Pradesh,india
2001,Uttar Pradesh,india
2003,Uttar Pradesh,india
2009,Uttar Pradesh,india
1969,Uttar Pradesh,india
1954,Uttar Pradesh,india
1977,Uttar Pradesh,india
2005,Uttar Pradesh,india
1974,Uttar Pradesh,india
2016,Uttar Pradesh,india
2017,Uttar Pradesh,india
2012,Uttar Pradesh,india
2013,Uttar Pradesh,india
1967,Uttar Pradesh,india
1972,Uttar Pradesh,india
2015,Uttar Pradesh,india
1976,Uttar Pradesh,india
1974,Uttar Pradesh,india
1982,Uttar Pradesh,india
2000,Uttar Pradesh,india
2000,Uttar Pradesh,india
1971,Uttar Pradesh,india
1977,Uttar Pradesh,india
1965,Uttar Pradesh,india
1976,Uttar Pradesh,india
1976,Uttar Pradesh,india
2013,Uttar Pradesh,india
1977,Uttar Pradesh,india
1955,Uttar Pradesh,india
2007,Uttar Pradesh,india
1981,Uttar Pradesh,india
2015,Uttar Pradesh,india
1984,Uttar Pradesh,india
1990,Uttar Pradesh,india
1958,Uttar Pradesh,india
1961,Uttar Pradesh,india
1972,Uttar Pradesh,india
1990,Uttar Pradesh,india
1966,Uttar Pradesh,india
1977,Uttar Pradesh,india
1986,Uttar Pradesh,india
1958,Uttar Pradesh,india
2012,Uttar Pradesh,india
1971,Uttar Pradesh,india
1968,Uttar Pradesh,india
2010,Uttar Pradesh,india
1985,Uttar Pradesh,india
1990,Uttar Pradesh,india
1966,Uttar Pradesh,india
1988,Uttar Pradesh,india
1967,Uttar Pradesh,india
1971,Uttar Pradesh,india
2013,West Bengal,india
2011,West Bengal,india
1967,West Bengal,india
1989,West Bengal,india
1971,West Bengal,india
1987,West Bengal,india
1988,West Bengal,india
2012,West Bengal,india
1974,West Bengal,india
1958,West Bengal,india
1958,West Bengal,india
1974,West Bengal,india
2011,West Bengal,india
1981,West Bengal,india
2016,West Bengal,india
2017,West Bengal,india
1954,West Bengal,india
1984,West Bengal,india
1972,West Bengal,india
1975,West Bengal,india
1986,West Bengal,india
2012,West Bengal,india
1992,West Bengal,india
1981,West Bengal,india
1954,West Bengal,india
1986,West Bengal,india
2010,West Bengal,india
1983,West Bengal,india
1968,West Bengal,india
1987,West Bengal,india
2009,West Bengal,india
1970,West Bengal,india
1964,West Bengal,india
2013,West Bengal,india
1970,West Bengal,india
2014,West Bengal,india
2006,West Bengal,india
1970,West Bengal,india
2014,West Bengal,india
1969,West Bengal,india
1985,West Bengal,india
2009,West Bengal,india
1958,West Bengal,india
1965,West Bengal,india
1976,West Bengal,india
1992,West Bengal,india
1959,West Bengal,india
1970,West Bengal,india
2007,West Bengal,india
2004,West Bengal,india
1986,West Bengal,india
1972,West Bengal,india
2014,West Bengal,india
2014,West Bengal,india
1972,West Bengal,india
2009,West Bengal,india
1992,West Bengal,india
1990,West Bengal,india
1971,West Bengal,india
2010,West Bengal,india
2011,West Bengal,india
1970,West Bengal,india
1983,West Bengal,india
1975,West Bengal,india
1962,West Bengal,india
1964,West Bengal,india
1973,West Bengal,india
1972,West Bengal,india
1966,West Bengal,india
1970,West Bengal,india
1962,West Bengal,india
1972,West Bengal,india
1973,West Bengal,india
1972,West Bengal,india
1973,West Bengal,india
1976,West Bengal,india
1986,West Bengal,india
1974,West Bengal,india
1973,West Bengal,india
1965,West Bengal,india
1972,West Bengal,india
1972,West Bengal,india
1967,West Bengal,india
1971,West Bengal,india
1989,West Bengal,india
1981,West Bengal,india
1972,West Bengal,india
1963,West Bengal,india
1957,West Bengal,india
1962,West Bengal,india
1965,West Bengal,india
1973,West Bengal,india
1954,West Bengal,india
1970,West Bengal,india
1970,West Bengal,india
1954,West Bengal,india
1963,West Bengal,india
1983,West Bengal,india
1970,West Bengal,india
2005,West Bengal,india
1987,West Bengal,india
1976,West Bengal,india
1990,West Bengal,india
1967,West Bengal,india
2011,West Bengal,india
1975,West Bengal,india
1990,West Bengal,india
1974,West Bengal,india
2015,West Bengal,india
1969,West Bengal,india
1970,West Bengal,india
1998,West Bengal,india
2009,West Bengal,india
1960,West Bengal,india
1990,West Bengal,india
1975,West Bengal,india
2004,West Bengal,india
1968,West Bengal,india
1970,West Bengal,india
2006,West Bengal,india
1977,West Bengal,india
2000,West Bengal,india
1960,West Bengal,india
1969,West Bengal,india
1966,West Bengal,india
1959,West Bengal,india
1992,West Bengal,india
1970,West Bengal,india
1971,West Bengal,india
1975,West Bengal,india
1961,West Bengal,india
1977,West Bengal,india
1956,West Bengal,india
2010,West Bengal,india
2013,West Bengal,india
2011,West Bengal,india
1954,West Bengal,india
1985,West Bengal,india
1962,West Bengal,india
2003,West Bengal,india
1983,West Bengal,india
1972,West Bengal,india
1968,West Bengal,india
1990,West Bengal,india
1963,West Bengal,india
1955,West Bengal,india
1969,West Bengal,india
1962,West Bengal,india
1965,West Bengal,india
1964,West Bengal,india
1970,West Bengal,india
1970,West Bengal,india
1972,West Bengal,india
1990,West Bengal,india
1984,West Bengal,india
1985,West Bengal,india
1965,West Bengal,india
1982,West Bengal,india
2014,West Bengal,india
1956,West Bengal,india
1965,West Bengal,india
1968,West Bengal,india
1955,West Bengal,india
1974,West Bengal,india
1960,West Bengal,india
1964,West Bengal,india
1962,West Bengal,india
1962,West Bengal,india
1987,West Bengal,india
1962,West Bengal,india
1972,West Bengal,india
1971,West Bengal,india
2007,West Bengal,india
1961,West Bengal,india
1992,West Bengal,india
1992,West Bengal,india
1977,West Bengal,india
1961,West Bengal,india
1985,West Bengal,india
1991,West Bengal,india
2003,West Bengal,india
2003,West Bengal,india
1974,West Bengal,india
1959,West Bengal,india
1957,West Bengal,india
1988,West Bengal,india
2010,West Bengal,india
1962,West Bengal,india
1985,West Bengal,india
1969,West Bengal,india
1991,West Bengal,india
1960,West Bengal,india
1975,West Bengal,india
1975,West Bengal,india
2003,West Bengal,india
2001,West Bengal,india
2010,West Bengal,india
1957,West Bengal,india
1976,West Bengal,india
1990,West Bengal,india
2014,West Bengal,india
1954,West Bengal,india
1964,West Bengal,india
1954,West Bengal,india
1959,West Bengal,india
1975,West Bengal,india
1972,West Bengal,india
2013,West Bengal,india
1989,West Bengal,india
2007,West Bengal,india
1983,West Bengal,india
1956,West Bengal,india
1974,West Bengal,india
1959,West Bengal,india
1960,West Bengal,india
1962,West Bengal,india
1991,West Bengal,india
2006,West Bengal,india
1969,West Bengal,india
1955,West Bengal,india
1986,West Bengal,india
2011,West Bengal,india
1980,West Bengal,india
2009,West Bengal,india
1973,West Bengal,india
1963,West Bengal,india
1977,West Bengal,india
1972,West Bengal,india
1967,West Bengal,india
1968,West Bengal,india
2010,West Bengal,india
2009,West Bengal,india
1986,West Bengal,india
1960,West Bengal,india
2008,West Bengal,india
1965,West Bengal,india
1984,West Bengal,india
1962,West Bengal,india
2012,West Bengal,india
2003,West Bengal,india
2001,West Bengal,india
1971,West Bengal,india
1959,West Bengal,india
1967,West Bengal,india
1964,West Bengal,india
1965,West Bengal,india
1985,West Bengal,india
1975,West Bengal,india
1965,West Bengal,india
1990,West Bengal,india
1971,West Bengal,india
2004,West Bengal,india
1959,West Bengal,india
1960,West Bengal,india
1959,West Bengal,india
1999,West Bengal,india
2013,West Bengal,india
1971,West Bengal,india
1971,West Bengal,india
1969,West Bengal,india
1992,West Bengal,india
1970,West Bengal,india
1971,West Bengal,india
2011,West Bengal,india
